股票代码,股票名,年报日期,净资产收益率(%)
sh601121,宝地矿业,20141231,4.8543
sh603087,甘李药业,20141231,34.4573
sh603109,神驰机电,20141231,5.584
sh603150,万朗磁塑,20141231,14.4503
sh603155,新亚强,20141231,23.5445
sh603162,海通发展,20141231,3.1047
sh603182,嘉华股份,20141231,14.7875
sh603191,望变电气,20141231,8.767
sh603212,赛伍技术,20141231,26.4295
sh603282,亚光股份,20141231,46.4008
sh603353,和顺石油,20141231,10.4168
sh603392,万泰生物,20141231,24.6183
sh603565,中谷物流,20141231,23.0445
sh603755,日辰股份,20141231,22.1972
sh603786,科博达,20141231,37.8806
sh603893,瑞芯微,20141231,9.8683
sh605006,山东玻纤,20141231,15.4953
sh605069,正和生态,20141231,14.2363
sh605098,行动教育,20141231,81.194
sh605100,华丰股份,20141231,0.4794
sh605108,同庆楼,20141231,46.5178
sh605136,丽人丽妆,20141231,7.3446
sh605151,西上海,20141231,27.2164
sh605158,华达新材,20141231,27.3224
sh605166,聚合顺,20141231,-2.2317
sh605168,三人行,20141231,33.8646
sh605178,时空科技,20141231,36.5601
sh605189,富春染织,20141231,9.4533
sh605196,华通线缆,20141231,13.4468
sh605258,协和电子,20141231,41.4586
sh605266,健之佳,20141231,11.053
sh605289,罗曼股份,20141231,16.1133
sh605296,神农集团,20141231,11.957
sh605298,必得科技,20141231,14.8592
sh605303,园林股份,20141231,11.2021
sh605376,博迁新材,20141231,-18.95
sh605377,华旺科技,20141231,34.5359
sh688004,博汇科技,20141231,8.4418
sh688025,杰普特,20141231,5.3732
sh688038,中科通达,20141231,7.1976
sh688052,纳芯微,20141231,24.6656
sh688056,莱伯泰科,20141231,20.2812
sh688058,宝兰德,20141231,32.5705
sh688060,云涌科技,20141231,38.3701
sh688077,大地熊,20141231,13.0624
sh688089,嘉必优,20141231,8.4237
sh688101,三达膜,20141231,10.6444
sh688103,国力股份,20141231,11.3622
sh688111,金山办公,20141231,3.941
sh688118,普元信息,20141231,35.1541
sh688138,清溢光电,20141231,18.456
sh688148,芳源股份,20141231,-59.1421
sh688150,莱特光电,20141231,0.1784
sh688153,唯捷创芯,20141231,129.4178
sh688160,步科股份,20141231,17.8174
sh688163,赛伦生物,20141231,12.3123
sh688167,炬光科技,20141231,3.6481
sh688170,德龙激光,20141231,15.9974
sh688186,广大特材,20141231,11.2791
sh688191,智洋创新,20141231,29.7989
sh688202,美迪西,20141231,-15.4818
sh688208,道通科技,20141231,44.8412
sh688221,前沿生物-U,20141231,0.012
sh688229,博睿数据,20141231,76.3079
sh688237,超卓航科,20141231,6.5044
sh688244,永信至诚,20141231,10.6967
sh688255,凯尔达,20141231,20.6356
sh688257,新锐股份,20141231,15.6241
sh688265,南模生物,20141231,83.9739
sh688267,中触媒,20141231,37.4583
sh688283,坤恒顺维,20141231,32.5492
sh688286,敏芯股份,20141231,-31.2315
sh688291,金橙子,20141231,22.2313
sh688292,浩瀚深度,20141231,19.5987
sh688296,和达科技,20141231,49.9483
sh688303,大全能源,20141231,43.1948
sh688318,财富趋势,20141231,16.7787
sh688350,富淼科技,20141231,13.4753
sh688359,三孚新科,20141231,-0.3344
sh688367,工大高科,20141231,5.8761
sh688377,迪威尔,20141231,12.0938
sh688379,华光新材,20141231,11.4458
sh688391,钜泉科技,20141231,20.1718
sh688398,赛特新材,20141231,12.1702
sh688401,路维光电,20141231,38.5319
sh688410,山外山,20141231,-4.5083
sh688418,震有科技,20141231,4.4063
sh688435,英方软件,20141231,-59.1269
sh688502,茂莱光学,20141231,13.8503
sh688506,百利天恒-U,20141231,6.5013
sh688510,航亚科技,20141231,-23.8205
sh688531,日联科技,20141231,6.9116
sh688535,华海诚科,20141231,-5.8706
sh688536,思瑞浦,20141231,1.0078
sh688539,高华科技,20141231,27.333
sh688558,国盛智科,20141231,18.5979
sh688571,杭华股份,20141231,16.5329
sh688580,伟思医疗,20141231,43.9285
sh688589,力合微,20141231,19.056
sh688590,新致软件,20141231,28.1054
sh688597,煜邦电力,20141231,18.3595
sh688601,力芯微,20141231,37.7592
sh688611,杭州柯林,20141231,15.9118
sh688616,西力科技,20141231,30.8882
sh688622,禾信仪器,20141231,-22.7452
sh688625,呈和科技,20141231,30.8287
sh688639,华恒生物,20141231,61.6625
sh688663,新风光,20141231,6.4236
sh688679,通源环境,20141231,12.8478
sh688687,凯因科技,20141231,5.4685
sh688689,银河微电,20141231,17.1929
sh688699,明微电子,20141231,17.3306
sh688707,振华新材,20141231,-13.4123
sh688711,宏微科技,20141231,9.7026
sh688737,中自科技,20141231,8.0416
sh688793,倍轻松,20141231,34.5788
sh688798,艾为电子,20141231,3.314
sh688799,华纳药厂,20141231,15.2639
sz001201,东瑞股份,20141231,-19.0383
sz001205,盛航股份,20141231,27.2798
sz001206,依依股份,20141231,2.2179
sz001210,金房节能,20141231,39.025
sz001216,华瓷股份,20141231,4.3372
sz001218,丽臣实业,20141231,11.1956
sz001236,弘业期货,20141231,4.2943
sz001238,浙江正特,20141231,7.9247
sz001259,利仁科技,20141231,4.3453
sz001269,欧晶科技,20141231,41.0137
sz001296,长江材料,20141231,17.2462
sz001299,美能能源,20141231,13.462
sz001314,亿道信息,20141231,89.7031
sz001317,三羊马,20141231,47.9032
sz001330,博纳影业,20141231,13.0544
sz001332,锡装股份,20141231,15.807
sz002961,瑞达期货,20141231,15.7353
sz002968,新大正,20141231,42.4251
sz002970,锐明技术,20141231,34.7553
sz002978,安宁股份,20141231,17.4904
sz002988,豪美新材,20141231,9.7147
sz002992,宝明科技,20141231,3.7012
sz002995,天地在线,20141231,46.9389
sz002996,顺博合金,20141231,14.3948
sz002997,瑞鹄模具,20141231,15.5171
sz002999,天禾股份,20141231,12.8174
sz003001,中岩大地,20141231,37.5515
sz003002,壶化股份,20141231,17.667
sz003004,声迅股份,20141231,17.1137
sz003006,百亚股份,20141231,15.9308
sz003012,东鹏控股,20141231,25.4078
sz003015,日久光电,20141231,1.3207
sz003016,欣贺股份,20141231,34.381
sz003020,立方制药,20141231,27.0725
sz003025,思进智能,20141231,16.1524
sz003026,中晶科技,20141231,17.3881
sz003030,祖名股份,20141231,5.9837
sz003032,传智教育,20141231,59.1188
sz003033,征和工业,20141231,23.5052
sz003036,泰坦股份,20141231,3.9994
sz003041,真爱美家,20141231,19.3106
sz003042,中农联合,20141231,28.4134
sz300564,筑博设计,20141231,20.6637
sz300774,倍杰特,20141231,26.8179
sz300789,唐源电气,20141231,73.2071
sz300798,锦鸡股份,20141231,23.6543
sz300806,斯迪克,20141231,8.7718
sz300811,铂科新材,20141231,39.9823
sz300837,浙矿股份,20141231,21.3942
sz300843,胜蓝股份,20141231,33.2751
sz300847,中船汉光,20141231,10.7417
sz300849,锦盛新材,20141231,17.0856
sz300853,申昊科技,20141231,15.8259
sz300854,中兰环保,20141231,22.3994
sz300855,图南股份,20141231,2.9953
sz300856,科思股份,20141231,7.0178
sz300865,大宏立,20141231,22.2434
sz300867,圣元环保,20141231,9.369
sz300868,杰美特,20141231,26.2327
sz300872,天阳科技,20141231,136.8398
